#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-101.93037,80,31.006659
-82.718519,35,31.029912
-70.46963,69,31.074793
-82.922593,33,31.09843
-92.52,40,31.126661
-78.458889,24,31.143186
38.901481,65,31.187109
-52.13,133,31.280951
-82.327037,42,31.307457
-98.606667,19,31.320346
-82.819259,37,31.34338
-38.315926,26,31.360403
-82.771852,38,31.383766
-37.566296,40,31.408673
-81.007037,69,31.450659
-81.862963,53,31.484354
-54.264074,87,31.5369
-8.503333,111,31.607939
-71.411111,57,31.644427
-82.705926,40,31.669521
-86.554074,57,31.705821
-96.475185,61,31.742988
-98.923704,20,31.755838
-72.467407,37,31.778213
-83.143333,29,31.796217
-102.89037,34,31.819309
-75.05,79,31.869165
-98.545185,25,31.887232
-98.024815,34,31.910801
48.15,151,32.005107
-99.281111,10,32.012011
-81.38037,63,32.050458
-83.506667,20,32.063335
-81.921852,48,32.093514
-81.865185,49,32.126601
-14.315556,91,32.181413
-99.224815,12,32.188757
-98.023704,38,32.214454
-84.92,80,32.264435
-98.195556,34,32.285101
-99.403704,11,32.292604
-83.031111,33,32.312867
-37.575556,40,32.337637
-85.227778,82,32.388918
-97.047778,54,32.422786
-73.567407,24,32.438378
-82.577778,43,32.46703
-97.751852,40,32.493034
-86.901481,49,32.527467
32.987037,151,32.629143
-42.402593,141,32.720719
-95.961111,64,32.762088
-97.525185,44,32.790567
-96.124074,71,32.836796
-59.303704,104,32.906525
-97.00037,55,32.943242
-98.971481,18,32.954791
-39.446667,12,32.963215
-98.021111,43,32.992531
-83.545556,101,33.060227
-82.136667,42,33.08782
-82.988519,32,33.1103
-83.378889,114,33.187573
-82.841481,31,33.212559
-78.296667,114,33.289748
-82.892963,33,33.312244
-83.47,24,33.329071
-67.255185,38,33.355375
-81.256667,65,33.398747
-97.835926,37,33.421994
-23.051852,28,33.44069
-98.635185,22,33.454838
-83.048889,33,33.478095
-68.354815,27,33.495355
-64.665185,104,33.562855
-99.335185,11,33.570633
-55.963148,72,33.619549
-83.172593,31,33.642536
-97.454815,47,33.674149
-39.451111,10,33.680422
-86.184444,60,33.720464
-21.974444,50,33.754082
-81.273333,68,33.799206
-84.044444,16,33.810268
-83.949259,99,33.877391
-81.952963,51,33.911952
-38.548889,22,33.92672
-86.222222,53,33.960255
-37.061111,52,33.995911
-82.303704,48,34.027648
-77.97963,33,34.049219
-38.556296,35,34.072959
-39.682222,94,34.136284
-38.002963,32,34.157775
-70.017407,87,34.216552
-63.592593,108,34.285617
-82.522222,36,34.308938
13.054074,44,34.33756
-98.364074,28,34.356118
-28.111481,32,34.376918
-78.012963,30,34.397991
7.184444,131,34.481893
-80.577407,76,34.535556
-98.068889,36,34.561117
-81.642593,57,34.602153
-96.972963,54,34.638488
-38.615556,26,34.657046
-99.20963,14,34.665715
-81.054074,72,34.713556
2.823333,151,34.814514
-82.328148,48,34.847248
-81.526296,57,34.885384
-82.221111,46,34.916334
-98.943333,17,34.927866
-82.840741,38,34.952884
-39.04963,21,34.968469
-82.17,50,35.001191
-83.691481,19,35.014791
-84.668519,99,35.080657
-99.249259,11,35.087156
-92.687407,38,35.114912
-39.138519,15,35.125658
-82.537778,42,35.153736
-84.168148,14,35.164311
-77.651852,40,35.190108
-82.81037,38,35.218186
-18.383333,24,35.23509
-81.770741,55,35.273361
-81.028148,63,35.316937
-82.675926,37,35.341467
-24.042222,16,35.352283
-39.014815,18,35.363743
-82.564444,146,35.459335
-81.503704,54,35.49345
-98.908889,20,35.507116
-69.047407,104,35.575068
-102.424444,42,35.604414
-80.948519,71,35.652635
-98.674074,27,35.66932
-38.611111,21,35.683646
-93.71037,23,35.697539
-98.451111,115,35.77411
-82.414815,45,35.80444
-82.736296,37,35.829947
-23.356296,26,35.846522
-97.548889,40,35.873262
118.643704,61,35.918452
-83.897407,16,35.929566
-3.623704,97,35.995202
-82.849259,34,36.017974
-85.958889,65,36.061636
-68.739259,21,36.076533
-82.552593,38,36.101556
23.056667,151,36.200474
38.248519,151,36.303128
-18.115185,29,36.322301
-39.073333,17,36.333127
-63.177037,30,36.354535
-82.358519,45,36.385176
-83.377037,29,36.404842
-83.376296,28,36.423703
-98.712593,29,36.442456
-22.102963,48,36.475249
-83.19037,32,36.496783
-82.992963,33,36.519037
-86.69,72,36.570159
-38.127037,30,36.591758
-38.808519,22,36.608967
-98.686296,22,36.62444
28.302222,139,36.717585
-82.400741,45,36.746714
-99.048889,17,36.758315
-8.468889,26,36.776293
-63.121481,106,36.846244
-81.88,55,36.883074
-73.448889,21,36.895992
-100.825556,67,36.939057
-79.258519,101,37.005289
-101.562963,59,37.045178
-30.420582,79,37.099513
-22.591481,40,37.127073
-85.347778,74,37.176353
-83.953333,18,37.189553
-82.288519,45,37.220288
-99.272222,13,37.231242
-9.962963,85,37.291782
-83.282963,29,37.310983
-67.473333,40,37.337757
-50.602222,79,37.391403
-73.902963,94,37.452516
-97.227037,43,37.481602
-99.321481,12,37.489862
-93.122222,31,37.510586
-83.782222,20,37.523592
-82.904444,35,37.545323
-39.275556,14,37.555391
-77.885556,143,37.649947
-80.726296,74,37.696754
-97.443704,43,37.725467
-21.095926,62,37.766688
-38.911111,22,37.782511
-97.601481,85,37.838153
-99.264444,16,37.84939
-97.502963,38,37.876231
-70.273704,71,37.927142
-81.617778,61,37.970714
-85.994444,63,38.012507
28.88037,59,38.052392
29.154074,151,38.154897
-54.256667,10,38.160778
-95.757778,78,38.215039
-81.25,62,38.255824
-67.959259,33,38.279598
-83.174074,32,38.301573
-82.653704,37,38.325805
43.521852,57,38.363833
-45.887407,70,38.4124
-82.753333,39,38.438693
-96.800741,53,38.475355
-37.017037,46,38.505116
-82.034074,52,38.54033
-98.200741,33,38.561837
-98.637037,39,38.591968
-82.001852,50,38.628675
-99.207407,11,38.635208
-81.743704,55,38.671981
-80.827407,75,38.720616
-88.867037,17,38.732098
-98.070741,33,38.753931
-37.740741,43,38.782375
-99.403704,11,38.790064
-98.865926,20,38.80323
-99.462222,10,38.809434
-85.70963,72,38.85569
-82.607037,38,38.881563
-39.325926,12,38.889425
-38.974074,19,38.902918
64.152222,151,39.003578
-78.59037,109,39.077896
-97.567407,48,39.11068
-86.281481,74,39.159518
-98.887407,20,39.172956
-4.961481,90,39.233943
-98.175556,34,39.259716
-83.926667,18,39.274267
-90.484074,109,39.347742
-97.487778,54,39.383016
-101.301111,61,39.423398
-67.247778,44,39.452086
-81.448889,63,39.493695
-83.174815,31,39.515149
-97.96037,35,39.53911
-82.163704,49,39.571859
3.713704,151,39.673782
-82.561852,41,39.70061
