#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-107.126172,190,300.687695
-107.699632,65,301.259727
-43.81955,93,301.352894
-18.623802,201,302.094622
-108.794233,69,302.569186
-103.379662,88,302.657072
-41.227348,20,302.676414
-91.26626,153,303.352449
-18.273298,201,304.053938
-3.620326,32,304.084759
-100.681814,59,304.596531
-32.90784,15,304.611635
-47.295502,64,304.672761
-37.456018,31,305.067305
297.960781,173,305.722171
-3.357717,201,306.431029
190.715255,147,307.099741
-27.205166,201,307.731967
-102.251942,17,307.748538
-28.168192,201,308.614182
-14.774302,201,309.297306
11.730492,201,310.045232
-95.234419,134,310.687579
-2.664098,201,311.452031
-42.663543,40,311.494214
215.226996,201,312.090376
-102.652139,40,312.128496
3.770939,201,312.767389
-28.046093,201,313.649949
-26.716226,201,314.438152
9.193601,201,315.116044
-109.276522,84,315.738663
-102.839212,44,315.782451
-40.92728,61,316.224461
6.96211,201,316.8766
-100.049818,32,317.426064
-25.822675,201,318.158622
-86.242966,165,318.719658
-35.509559,146,319.555197
-7.974168,201,320.277208
-100.890228,34,320.310497
-39.286765,10,320.736154
-97.613048,146,321.524409
-18.888351,201,322.298737
-11.617816,201,323.075048
99.437892,104,323.604234
-41.023602,27,323.629705
-93.029462,82,323.734806
-33.019935,120,324.31829
-97.150777,108,325.005611
99.924034,196,325.773155
-96.257838,76,325.843515
-6.028377,201,326.569257
-110.690853,118,327.083831
-40.859905,25,327.108272
-42.707614,123,327.573651
-47.177925,124,328.103081
-41.696783,14,328.117152
-40.850187,27,328.143786
-101.232756,24,328.16682
-1.546741,201,328.83372
-102.032182,95,329.3452
38.468667,201,330.027043
-101.942329,25,330.587633
-50.595124,71,330.655608
-47.949418,98,331.146117
-39.585832,44,331.187577
-37.301996,57,331.572717
-9.318537,109,332.19735
-117.14415,199,332.979871
-101.80889,61,333.445082
-4.55481,181,334.212468
-37.365258,111,334.743767
-40.423571,10,334.755174
-96.044463,62,334.819323
-103.720997,186,335.429457
-114.148686,90,335.995502
-46.121043,65,336.055753
28.018967,201,336.759393
-102.990961,35,336.792863
28.086155,201,337.368479
-10.32338,201,338.289117
-36.584894,70,338.748635
-34.92636,124,339.451046
33.666502,201,340.184482
-39.228148,10,340.196962
-2.283993,201,340.945536
-78.616469,149,341.569926
-40.846245,92,342.039385
24.778086,201,342.796475
0.996558,53,343.32736
-107.208451,74,343.398563
-49.67498,146,343.905664
14.940275,182,344.717412
10.90429,121,345.285876
54.711158,185,346.030724
-37.63637,153,346.629706
-45.686417,68,347.234028
-89.75912,96,347.8027
-81.25382,160,348.524964
-100.044946,52,348.579409
-44.726737,37,348.986013
7.174564,201,349.712214
12.342525,201,350.459157
-40.063323,12,350.47106
33.096048,144,351.046391
-40.388135,36,351.081266
-21.374667,102,351.510383
8.805401,201,352.198722
-97.244538,117,352.800603
-3.589609,201,353.556188
-1.15374,201,354.245008
-8.160827,201,354.930412
-1.250175,201,355.735644
22.116869,201,356.375195
-21.253929,83,356.982893
-74.29249,148,357.562852
-32.993137,48,358.090609
-90.091513,180,358.776874
-86.12814,201,359.544295
-53.408246,124,359.675303
-101.782263,40,360.24091
-114.387144,96,360.747286
-82.939309,159,361.439453
-41.038385,38,361.475676
43.887637,201,362.067713
