#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-168.729781,34,7.88638
-101.836749,21,7.891615
-151.99029,13,7.89471
-151.373222,10,7.89729
-103.640522,25,7.90271
-98.152484,11,7.905924
-103.50144,14,7.909251
-152.717965,10,7.911659
-123.014613,51,7.922215
-161.589626,33,7.929676
-152.373034,11,7.932373
-199.790991,49,7.942643
-152.329767,10,7.945178
-133.295118,23,7.950434
-106.296725,51,7.9608
-185.541413,85,7.978272
-164.216689,36,7.986261
-153.438097,11,7.989475
-124.077554,23,7.994499
-110.454531,10,7.996991
-103.96325,13,8.000126
-121.758621,37,8.008276
-99.293597,22,8.013057
-147.06413,14,8.016368
-151.294014,11,8.019082
-358.597972,109,8.041334
-163.441137,13,8.044394
-152.461112,10,8.047
-149.057978,10,8.04941
-151.040747,10,8.052601
-154.457283,25,8.058116
-119.40237,41,8.066718
-184.373072,99,8.089775
-146.662417,51,8.101622
-147.450432,13,8.104841
